block_index,offset,size,ascii_count,serial_candidates,zero_count,ff_count,numeric_candidates_count
332,23240,70,0,,25,4,66
333,23310,70,0,,23,4,66
334,23380,70,0,,21,4,66
335,23450,70,0,,20,4,66
336,23520,70,0,,19,4,66
337,23590,70,0,,19,4,66
338,23660,70,0,,20,4,66
339,23730,70,0,,19,4,66
340,23800,70,0,,19,5,66
341,23870,70,0,,19,4,66
342,23940,70,0,,19,4,66
343,24010,70,0,,19,4,66
344,24080,70,0,,19,4,66
345,24150,70,0,,19,4,66
346,24220,70,0,,19,5,66
347,24290,70,0,,20,4,66
348,24360,70,0,,19,4,66
349,24430,70,0,,19,4,66
350,24500,70,0,,19,4,66
351,24570,70,0,,20,4,66
352,24640,70,0,,19,4,66
353,24710,70,0,,19,4,66
354,24780,70,0,,16,4,66
355,24850,70,0,,16,4,66
356,24920,70,0,,16,4,66
357,24990,70,0,,16,4,66
358,25060,70,0,,16,4,66
359,25130,70,0,,16,4,66
360,25200,70,0,,16,4,66
361,25270,70,0,,16,4,66
362,25340,70,0,,16,4,66
363,25410,70,0,,16,4,66
364,25480,70,0,,16,4,66
365,25550,70,0,,16,4,66
366,25620,70,0,,17,4,66
367,25690,70,0,,16,4,66
368,25760,70,0,,16,4,66
369,25830,70,0,,16,4,66
370,25900,70,0,,16,4,66
371,25970,70,0,,16,4,66
372,26040,70,0,,16,4,66
373,26110,70,0,,16,4,66
374,26180,70,0,,16,4,66
375,26250,70,0,,16,4,66
376,26320,70,0,,16,4,66
377,26390,70,0,,16,5,66
378,26460,70,0,,16,4,66
379,26530,70,0,,16,4,66
380,26600,70,0,,16,4,66
381,26670,70,0,,16,4,66
382,26740,70,0,,16,4,66
383,26810,70,0,,16,4,66
384,26880,70,0,,16,4,66
385,26950,70,0,,16,4,66
386,27020,70,0,,16,4,66
387,27090,70,0,,16,4,66
388,27160,70,0,,16,4,66
389,27230,70,0,,16,4,66
390,27300,70,0,,17,4,66
391,27370,70,0,,17,4,66
392,27440,70,0,,16,4,66
393,27510,70,0,,16,4,66
394,27580,70,0,,16,4,66
395,27650,70,0,,16,4,66
396,27720,70,0,,16,5,66
397,27790,70,0,,16,4,66
398,27860,70,0,,16,4,66
399,27930,70,0,,16,5,66
400,28000,70,0,,16,5,66
401,28070,70,0,,16,4,66
402,28140,70,0,,16,5,66
403,28210,70,0,,16,4,66
404,28280,70,0,,16,4,66
405,28350,70,0,,16,4,66
406,28420,70,0,,16,4,66
407,28490,70,0,,16,4,66
408,28560,70,0,,16,5,66
409,28630,70,0,,16,4,66
410,28700,70,0,,16,4,66
411,28770,70,0,,16,4,66
412,28840,70,0,,16,4,66
413,28910,70,0,,16,5,66
414,28980,70,0,,17,4,66
415,29050,70,0,,17,5,66
416,29120,70,0,,16,5,66
417,29190,70,0,,16,4,66
418,29260,70,0,,17,4,66
419,29330,70,0,,16,4,66
420,29400,70,0,,16,4,66
421,29470,70,0,,16,4,66
422,29540,70,0,,19,4,66
423,29610,70,0,,16,4,66
424,29680,70,0,,16,4,66
425,29750,70,0,,16,4,66
426,29820,70,0,,16,4,66
427,29890,70,0,,17,4,66
428,29960,70,0,,17,4,66
429,30030,70,0,,17,5,66
430,30100,70,0,,17,4,66
431,30170,70,0,,16,5,66
432,30240,70,0,,16,4,66
433,30310,70,0,,17,4,66
434,30380,70,0,,17,4,66
435,30450,70,0,,16,4,66
